Calibration
Lat,Long,Elev,Opt Dist,Scale Name,Scale Number,Description,State,Purpose,Scale Suffix
52.78265273,-2.42759817,0,86.14,,,,,,
52.78246981,-2.42787554,0,114.86,,,,,,
52.78235191,-2.42814011,0,140.38,,,,,,
52.78254152,-2.42839513,0,165.90,,,,,,
52.78281847,-2.42875903,0,204.19,,,,,,
52.78316392,-2.42924012,0,255.24,,,,,,
52.78347613,-2.42967946,0,299.90,,,,,,
52.78362572,-2.42944118,0,322.24,,,,,,
52.78378085,-2.42909058,0,354.14,,,,,,
52.78341734,-2.42859619,0,408.38,,,,,,
52.78312062,-2.42819164,0,453.05,,,,,,
52.78283740,-2.42784304,0,491.33,,,,,,
52.78265273,-2.42759817,0,516.86,,,,,,
x
