Fiber Route
Lat,Long,Elev,Description
52.78265273,-2.42759817,0,27
52.78263240,-2.42762899,0,28
52.78261208,-2.42765981,0,29
52.78259175,-2.42769063,0,30
52.78257143,-2.42772145,0,31
52.78255111,-2.42775226,0,32
52.78253078,-2.42778308,0,33
52.78251046,-2.42781390,0,34
52.78249013,-2.42784472,0,35
52.78246981,-2.42787554,0,36
52.78245507,-2.42790861,0,37
52.78244034,-2.42794168,0,38
52.78242560,-2.42797475,0,39
52.78241086,-2.42800782,0,40
52.78239612,-2.42804089,0,41
52.78238139,-2.42807397,0,42
52.78236665,-2.42810704,0,43
52.78235191,-2.42814011,0,44
52.78237561,-2.42817198,0,45
52.78239931,-2.42820386,0,46
52.78242301,-2.42823574,0,47
52.78244672,-2.42826762,0,48
52.78247042,-2.42829950,0,49
52.78249412,-2.42833137,0,50
52.78251782,-2.42836325,0,51
52.78254152,-2.42839513,0,52
52.78256460,-2.42842545,0,53
52.78258768,-2.42845578,0,54
52.78261076,-2.42848610,0,55
52.78263384,-2.42851643,0,56
52.78265692,-2.42854675,0,57
52.78268000,-2.42857708,0,58
52.78270308,-2.42860740,0,59
52.78272615,-2.42863773,0,60
52.78274923,-2.42866805,0,61
52.78277231,-2.42869838,0,62
52.78279539,-2.42872870,0,63
52.78281847,-2.42875903,0,64
52.78284006,-2.42878910,0,65
52.78286165,-2.42881916,0,66
52.78288324,-2.42884923,0,67
52.78290483,-2.42887930,0,68
52.78292642,-2.42890937,0,69
52.78294801,-2.42893944,0,70
52.78296960,-2.42896950,0,71
52.78299119,-2.42899957,0,72
52.78301278,-2.42902964,0,73
52.78303437,-2.42905971,0,74
52.78305596,-2.42908978,0,75
52.78307756,-2.42911984,0,76
52.78309915,-2.42914991,0,77
52.78312074,-2.42917998,0,78
52.78314233,-2.42921005,0,79
52.78316392,-2.42924012,0,80
52.78318622,-2.42927150,0,81
52.78320852,-2.42930288,0,82
52.78323082,-2.42933426,0,83
52.78325312,-2.42936564,0,84
52.78327542,-2.42939702,0,85
52.78329772,-2.42942841,0,86
52.78332002,-2.42945979,0,87
52.78334233,-2.42949117,0,88
52.78336463,-2.42952255,0,89
52.78338693,-2.42955393,0,90
52.78340923,-2.42958532,0,91
52.78343153,-2.42961670,0,92
52.78345383,-2.42964808,0,93
52.78347613,-2.42967946,0,94
52.78349750,-2.42964542,0,95
52.78351887,-2.42961138,0,96
52.78354024,-2.42957734,0,97
52.78356161,-2.42954330,0,98
52.78358298,-2.42950926,0,99
52.78360435,-2.42947522,0,100
52.78362572,-2.42944118,0,101
52.78364123,-2.42940612,0,102
52.78365674,-2.42937106,0,103
52.78367226,-2.42933600,0,104
52.78368777,-2.42930094,0,105
52.78370328,-2.42926588,0,106
52.78371880,-2.42923082,0,107
52.78373431,-2.42919576,0,108
52.78374982,-2.42916070,0,109
52.78376534,-2.42912564,0,110
52.78378085,-2.42909058,0,111
52.78375947,-2.42906149,0,112
52.78373808,-2.42903241,0,113
52.78371670,-2.42900333,0,114
52.78369532,-2.42897425,0,115
52.78367394,-2.42894517,0,116
52.78365255,-2.42891608,0,117
52.78363117,-2.42888700,0,118
52.78360979,-2.42885792,0,119
52.78358840,-2.42882884,0,120
52.78356702,-2.42879976,0,121
52.78354564,-2.42877068,0,122
52.78352425,-2.42874159,0,123
52.78350287,-2.42871251,0,124
52.78348149,-2.42868343,0,125
52.78346011,-2.42865435,0,126
52.78343872,-2.42862527,0,127
52.78341734,-2.42859619,0,128
52.78339615,-2.42856729,0,129
52.78337495,-2.42853839,0,130
52.78335376,-2.42850950,0,131
52.78333256,-2.42848060,0,132
52.78331137,-2.42845170,0,133
52.78329017,-2.42842281,0,134
52.78326898,-2.42839391,0,135
52.78324778,-2.42836501,0,136
52.78322659,-2.42833612,0,137
52.78320539,-2.42830722,0,138
52.78318420,-2.42827833,0,139
52.78316301,-2.42824943,0,140
52.78314181,-2.42822053,0,141
52.78312062,-2.42819164,0,142
52.78309702,-2.42816259,0,143
52.78307341,-2.42813354,0,144
52.78304981,-2.42810449,0,145
52.78302621,-2.42807544,0,146
52.78300261,-2.42804639,0,147
52.78297901,-2.42801734,0,148
52.78295541,-2.42798829,0,149
52.78293181,-2.42795924,0,150
52.78290821,-2.42793019,0,151
52.78288461,-2.42790114,0,152
52.78286101,-2.42787209,0,153
52.78283740,-2.42784304,0,154
52.78281432,-2.42781243,0,155
52.78279123,-2.42778182,0,156
52.78276815,-2.42775121,0,157
52.78274507,-2.42772060,0,158
52.78272198,-2.42768999,0,159
52.78269890,-2.42765939,0,160
52.78267581,-2.42762878,0,161
52.78265273,-2.42759817,0,162
